"","V1","V2","V3"
"head","EcoStructure","UTM east lower left","UTM north lower left"
"","0","514000","4517000"
"","0","514000","4518000"
"","0","515000","4517000"
"","0.0386690891380311","515000","4518000"
"","0.000598519987106322","516000","4518000"
"","0","517000","4516000"
"","0","517000","4517000"
"","1.0199999332428e-05","517000","4518000"
"","0","517000","4519000"
"","0","517000","4520000"
"","0","518000","4514000"
"","0","518000","4515000"
"","0","518000","4516000"
"","4.47199988365173e-05","518000","4517000"
"","0.00192921995162963","518000","4518000"
"","0","518000","4519000"
"","0","518000","4520000"
"","0","518000","4521000"
"","0","518000","4522000"
"","0","518000","4523000"
"","0","519000","4514000"
"","0","519000","4515000"
"","0","519000","4516000"
"","7.22299976348875e-05","519000","4517000"
"","0","519000","4518000"
"","0","519000","4519000"
"","0","519000","4520000"
"","0","519000","4521000"
"","0","519000","4522000"
"","0","519000","4523000"
"","0.00181754995918274","520000","4514000"
"","1.35199995040893e-05","520000","4515000"
"","1.70199995040895e-05","520000","4516000"
"","6.05399990081788e-05","520000","4517000"
"","0.00128917997026443","520000","4518000"
"","0","520000","4519000"
"","0","520000","4520000"
"","0","520000","4521000"
"","0","520000","4522000"
"","0.0606147486352923","520000","4523000"
"","0.00125086996984482","521000","4514000"
"","0","521000","4515000"
"","0","521000","4516000"
"","0","521000","4517000"
"","8.98099980354309e-05","521000","4518000"
"","0","521000","4519000"
"","0.00136452997303008","521000","4520000"
"","0","521000","4521000"
"","0.0226418794913293","521000","4522000"
"","0.474673549316881","521000","4523000"
"","0.00562328987359999","521000","4524000"
"","0","522000","4515000"
"","0","522000","4516000"
"","0","522000","4517000"
"","0","522000","4518000"
"","0","522000","4519000"
"","0","522000","4520000"
"","0","522000","4521000"
"","0.00943518979597095","522000","4522000"
"","0","522000","4523000"
"","0.000558679986476895","522000","4524000"
"","0","522000","4525000"
"","0","523000","4514000"
"","0.00740118984603881","523000","4515000"
"","0","523000","4516000"
"","0","523000","4517000"
"","0","523000","4518000"
"","0.00449966990089417","523000","4519000"
"","0.000579319984912873","523000","4520000"
"","0.00662297984457023","523000","4521000"
"","5.69000005722044e-06","523000","4522000"
"","0","523000","4523000"
"","0","523000","4524000"
"","0","523000","4525000"
"","0","524000","4514000"
"","0","524000","4515000"
"","0.000966459977626809","524000","4516000"
"","0","524000","4517000"
"","0","524000","4518000"
"","0.000226729993820192","524000","4519000"
"","0.00579729986572261","524000","4520000"
"","0.00204274995517733","524000","4521000"
"","6.77999973297123e-06","524000","4522000"
"","6.75000000000006e-06","524000","4523000"
"","0.000202119996547701","524000","4524000"
"","0","524000","4525000"
"","0","525000","4513000"
"","0","525000","4514000"
"","0","525000","4515000"
"","0","525000","4516000"
"","0.000323069993972778","525000","4517000"
"","0.00168466996431351","525000","4518000"
"","0","525000","4519000"
"","5.60999965667727e-06","525000","4520000"
"","0","525000","4521000"
"","0","525000","4522000"
"","5.85999965667725e-06","525000","4523000"
"","0","525000","4524000"
"","0","525000","4525000"
"","0","526000","4513000"
"","0","526000","4514000"
"","0","526000","4515000"
"","0","526000","4516000"
"","0","526000","4517000"
"","0","526000","4518000"
"","0","526000","4519000"
"","0","526000","4520000"
"","0.0141721996808051","526000","4521000"
"","0","526000","4522000"
"","0","526000","4523000"
"","0","526000","4524000"
"","0","526000","4525000"
"","0","527000","4513000"
"","0","527000","4514000"
"","0","527000","4515000"
"","0","527000","4516000"
"","0","527000","4517000"
"","0","527000","4518000"
"","0","527000","4519000"
"","0","527000","4520000"
"","0","527000","4521000"
"","0","527000","4522000"
"","0","527000","4523000"
"","0","527000","4524000"
"","0","528000","4518000"
"","0","528000","4519000"
"","0","529000","4518000"
